id,username,created_at,lng,lat,text
1.51764E+18,winbmar,Fri Apr 22 22:59:13 +0000 2022,-122.2964885,47.442583,@loganeatsbutter i try to keep my balls quaffable
1.51764E+18,hotbbyvee,Fri Apr 22 22:59:15 +0000 2022,-122.3306025,47.614817,Some people gotta learn how to not mix hurt &amp; anger together. Find God.
1.51764E+18,RichRichroby1,Fri Apr 22 22:59:20 +0000 2022,-122.284264,47.176459,@komonews Helping them move!
1.51764E+18,janellej2727,Fri Apr 22 22:59:24 +0000 2022,-120.882482,47.273022,Morning at the Skagit Valley Tulip Festival. Peak bloom this week. #tulips #MtVernon #Roozengaarde https://t.co/xYlsk3kupS
1.51764E+18,HonMyChest,Fri Apr 22 22:59:28 +0000 2022,-122.6783853,45.515232,SPFPP 227: Hanging Herpes Over my Head  https://t.co/0CpXYunSio
1.51764E+18,coastaln8v73,Fri Apr 22 22:59:45 +0000 2022,-117.1542695,46.730822,Busted out of work like Fred Flintstone leaving the rock quarry. Happy Friyay https://t.co/u0XpfPZbQj
1.51764E+18,urth2ang,Fri Apr 22 22:59:46 +0000 2022,-122.630908,45.536402,i was bummed out cause I didn’t go to Dave Chappelle’s show the other night &amp; he came in to eat at my job today.. d… https://t.co/vtJCHZ4ITx
1.51764E+18,karynotype,Fri Apr 22 22:59:49 +0000 2022,-122.314552,47.651545,Post kayak cocktails #partyinthefrontfoegeintheback #iykyk #sunburninseattle https://t.co/ZpnOxPiFMs
1.51764E+18,yng_uni,Fri Apr 22 22:59:51 +0000 2022,-122.3306025,47.614817,"@BruMarquezine as the marqueziners are saying after your post for chopard, my luxurious bb 🤍♥️🖤😘😘😘 https://t.co/uYj1dUZ3h0"
1.51764E+18,tmj_sea_transp,Fri Apr 22 22:59:57 +0000 2022,-122.0981342,47.6747173,"This job might be a great fit for you: PT Preload Simulation - https://t.co/V7sXVLl44u #Transportation #Redmond, WA"
1.51764E+18,olmos_nick,Fri Apr 22 23:00:03 +0000 2022,-120.5834015,44.1454365,@ThePettiestLA If that’s the case I guess Timberwolves fans are not allowed to say a word about the finals 💀😭
1.51764E+18,Longrev4,Fri Apr 22 23:00:04 +0000 2022,-122.630908,45.536402,Thank You Jesus for this extended travel. We respect our President @POTUS and the Air Space Around #AirForceOne Sti… https://t.co/wqVoeHnBpo
1.51764E+18,roseburgweather,Fri Apr 22 23:00:04 +0000 2022,-123.341736,43.216503,Temperature: 60.1 F (15.6 C)Relative Humidity: 49%Wind: from the W (270 degrees) at 6 MPH (5 KT)Sky conditions: overcast
1.51764E+18,Punished_Shoog,Fri Apr 22 23:00:08 +0000 2022,-122.630908,45.536402,@tahukann How could you have freckles?!
1.51764E+18,vincentmvdm,Fri Apr 22 23:00:08 +0000 2022,-122.3306025,47.614817,@brian_lovin @figma @framer The override sends a message to the Figma plugin using postMessage.You can make that… https://t.co/69FREBJCkx
1.51764E+18,maranicole_l,Fri Apr 22 23:00:13 +0000 2022,-122.1607675,47.4506245,Shopping at Costco is like the next level up from shopping at Target 😭💔
1.51764E+18,karynotype,Fri Apr 22 23:00:19 +0000 2022,-122.3306025,47.614817,@kristinnharper We will be in Ballard tomorrow—are you around?!
